" GATE: Entry (ET)","Courage","Compromise","Psychic","Strength","TEAMMATE*","BELIEF","Crisis Outer","OBFUSCATE","Qi Letting go","Kundalini","Trespassing","Held","Qi Disconnect","BURDEN","General Facil","Suppression","Prescience","Aversion","Tribe","STRESS","CODE","Growth","INFLOW","Res In Phase","Story","Exchange","Ancestor","Compression","Move","CONSTRUCT","INFLAME","Return","Entry enables clean entry to the inner conditions being signaled. We are all inventors, each sailing out on a voyage of discovery, guided each by a private chart, of which there is no duplicate. The world is all gates, all opportunities.  - Ralph Waldo Emerson","","","","","8","1","Misaligning force that is preventing the inner warrior from being able to feel and act from its courage","In the face of this challenge, one has been compromising one s resourcefulness and power in some way","A form of fixed ideation used as a projectile in psychic warfare or in out-of-body games","An inner part within one cannot express itself openly","Unchanging conditions anchored by the force of an ally s betrayal (check if this life or in the seeding source) ","Belief that interferes with the flow within and between the inner dimensions","A crisis or trauma memory trace that installs a repeating behavior pattern ","There is something within one here which needs strengthening","A belief that is no longer appropriate needs to be let go at an energetic level","Flexibility, flow and consequent joie de vivre is being blocked","Something is trespassing on the inner and life force is being expended to try to hold it off ","Held into, and ensnared by, an emotional patterning that is rising within one","A congested qi point is serving to create disconnection from instinctive awareness ","A burden that is attached to one s vessel is  making one feel stuck or trapped in the material universe","An action needs to be taken that will facilitate the process of ReUnion","An inherited or culturally implanted suppressive tendency is inhabiting one","Forces are present that drive one away from being entirely present with one s greater possibilities","A state of aversion, hypersensitivity, or frustration is circulating mercilessly within one","Tribal rules - the beliefs and paradigms operating in the family, group or culture - are impinging on one here","An external force that is stressing one s system","A coding for behavior and circumstance installed by crisis ","The sacred command to continue growing is being blocked or halted","There is resistance to the truth of something that is coming one s way","A resonance to go in phase with a force and sharpen inner focus in order to deal with it. ","An identity taken on from a legend, myth, sacred story or cultural fabrication","One is feeling the seeding source s inability to find true union and sweetness in their relationships ","The weight of the seeding source is smothering one s vitality in some way  ","A compressed inner aspect that needs opening or strengthening","What is needed to unstick one s inner tides","A held mental construct, unmoving subjectivity","What inflames the inner, irritation and upset","Needed element for complete return of a presently dormant force"
" Res Fresh","Outcast","AUTHORITY","CODE","Powerdrive","Innerworld","Little Devil","Creation","Qi Congestion","Fixation","Overpower","Decision","Held","INFLOW","MOTE","Faith","Clamp","Addiction","RESOURCE","CHARISMA","Unclean","Decay","Seeing","Mask","Attend","Wrong","TERRITORY","Discarnate","Ejection","EM ","ESCAPE","Anxiety","DOM YIN","Empathic resonance to refresh the inner with a new approach or new direction for its facilitation. One can resist the invasion of an army but one cannot resist the invasion of ideas.  - Victor Hugo*Empathic resonance is numerical coding that the inner uses as a catalyst for uncovering, loosening, and dispersing forces at hand. By such numerical empathy, the resonances aid in releasing the inner s grip on its own wounds.After the mode is put in, crossed over and Tapped In, each number of the resonance is put in the active hand, crossed over and Tapped In. On completion, take a big breath and feel the energy settle. Tap In. Tap Up.","","","","","2","1","86232 - to lift an isolation, the feeling of being deserted or misunderstood","76917 - to bring about a new inner understanding of one s authority in life","76796 - to illuminate a trauma coding that interferes with taking a new direction","82471 - to enable one to free one s life force of compression and congestion","6236 - to move beyond limiting inner self definitions that are trapping one","71126 - to free self from the  demons  of the lower mind that rise up as unwanted thoughts or pictures","86377 - to revitalize one s creative optimism and broad acceptance of joyful outcomes","8696 - to revitalize one s pursuit of enlightenment rather than power","89398 - to lift away a fixation","7377 - to release oneself from handing one s authority over one s life to a negative outlook ","2378 - to revitalize the ability to make self- determined choices and decisions","96769 - to enable the release of inner feelings that have been limiting one s confidence","9167 - to restore one s ability to bring into oneself what is needed or nourishing","354099 - to recognize what one is projecting upon oneself here","81277 - to reinvigorate faith in oneself","96187 - to lift forces used in an obsessive way to subjugate one s own or others  inner power","71789 - to begin withdrawal from an addiction or habitual state","73228 - to refresh an inner resource","7237 - to refresh one s confident and magnetic presence ","7626 - to refresh and make new one s sense of self-esteem","86266 - to retract an enveloping imbalance that will not allow one to let go of what needs release","87367 - to refresh one's imagination and inner vision","34288 - to release one from the stress of hiding one s sense of failure from others","762 - to restore inner attentiveness","2776 - to release oneself from the deception that one is wrong or bad","6268 - to restore one s former drive and dynamism","9946 - to refresh the inner of a discarnate and allow them to start again","163668 - to restore family or intimate relationships ","87787 - to release and realign electromagnetic distortion","67676 - to realign one towards confronting what needs to be faced","96473 - to release the pressure of two contrary but coincidental beliefs or feeling states","7666667 - to refresh an area of lost nurturing and self-receptiveness"
" Res General","Freespirit","ACCOMPLISH","Qi Letting Go","Courage","Weary","GRACE","RESOURCE","Rut","Meeting","Faith","FIELD","Yinflow","Yoke","OBFUSCATE","Qi Unfolding","Tribe","Truth","SERVANT","Kundalini","Sensitive","If Only","Purpose","PILOT","Outcast","Ancestor","HEART","INFLOW","ENVY","Seeing","Decision","Impatience","Exchange","An all purpose empathic resonance that invites the inner s resolve to confront and open to the emotions and weight of the forces at hand. All human beings have this burden in life to constantly figure out what s true, what s authentic, what s meaningful, what s dross, what s a hallucination, what s a figment, what s madness. We all need to figure out what is valuable, constantly.  - Maxine Hong Kingston*Empathic resonance is numerical coding that the inner uses as a catalyst for uncovering, loosening, and dispersing forces at hand. By such numerical empathy, the resonances aid in releasing the inner s grip on its own wounds.After the mode is put in, crossed over and Tapped In, each number of the resonance is put in the active hand, crossed over and Tapped In. On completion, take a big breath and feel the energy settle. Tap In. Tap Up.  ","","","","","1","1","87787  - to find nourishment from the greater nature of one s existence","2348 - to restore hope","9786 - to better enable letting go of things","76267 - to allow an opening and expansion of one s vitality, passion and sense of adventure ","669755 - to reinvigorate and balance the body s nervous system and brain chemistry","59959 - to open one to the acceptance of Grace","92788 - to regain inner resourcefulness and self-love","8982 - to encourage greater courage","7616 - to decontaminate a failing sense of being divinely guided","7323 - to ameliorate a loss of faith in oneself, in others or in the blessings of Grace (TL which)","7686 - to repair a hole, rip or distortion in the field (TL for location)","734338 - to encourage the giving and receiving of nurturing support no matter what","16121 - to help free one from the trap of shame and disappointment in the past","8044 - to enable expression of the power and the truth that is within one","36786 - to allow an unfolding past one's restrictive wounds or beliefs ","76972 - to counter old collective beliefs","97879 - to bring the courage to enable one to face a truth ","94272 - to help lift an inner force to which one has become subservient","76867 - to enable one to taste the sweetness of life","99345 - to enable focused sensitivity","6686886 - to take away one s unwanted conditionality","22676 - to disperse a sense of failure","94374 - to recover faith in one s true guidance","489696 - to lift away aloneness and inner self-suppression","7337 - to enable letting go of the seeding source s turmoil","6868 - to mend a broken heart","8293 - to open up inflow of what is needed","84894 - to enable one to  stomach  life better","83384 - to clarify one s inner vision and recognition of how to bring it into material existence","2378 - to lift the need of having others make decisions for one","78678 - to calm one's spiritual impatience","92856 - to enable clarity within sexual union or in career and financial affairs"
" Res In Phase","HEART","BURDEN","BLOCK","Lame","Kundalini","Qi Balance","IMPLANTIndex","Outcast","Impatience","CHARISMA","Little Devil","Haze Inner","Inversion","ESCAPE","Courage","Wrong","AUTHORITY","Vessel","PULSING","Censor","Hallways","DOM YANG","Death","Unclean","Ejection","Overwhelm","Seeing","Freespirit","Compromise","Haze Outer","Trust","EXHAUSTION","Empathic resonance that sharpens the focus on the force at hand by bringing one s attention in phase with the vibrancy of the force.*Empathic resonance is numerical coding that the inner uses as a catalyst to uncover, loosen, and disperse forces at hand. By such numerical empathy, the resonances aid in releasing the inner s grip on its own wounds. The true hallmark of a spiritual person is one who has understood that there is so much wonder, so much mystery, and so much life that is totally beyond the realm of finite understanding that they have fallen into a space of gratitude and joy and acceptance.  - Bartholomew, 'I Come as a Brother'After the mode is put in, crossed over and Tapped In, each number of the resonance is put in the active hand, crossed over and Tapped In. On completion, take a big breath and feel the energy settle. Tap In. Tap Up.","","","","","1","1","1227 - one s heart feels wounded by a loss  one is unable to let go of","7835 - loss of faith regarding the truth of love and a consequent enabling of coldness and conditionality","8826 - the barrier that traps one into being unable to transform or heal the force at hand","7962 - loss of trust in one s relationship with others or the divine is creating a feeling one is not valued ","78279 - unable to taste the sweetness of life, brokenhearted","8278 - life force imbalance that corrupts reach and sensitivity","7777 - a subtle trance command","68668 - disabling of one's inner resources, psychically screening oneself from others","97877 - restless annoyance or frustration with failure","8727 - loss of focus on the dynamic power of one s charisma and authority","82788 - inveigled by thoughts and pictures created from suppressed memories and traumas","3787 - to enable better understanding of what is being perceived here","6349 - an unwanted reversal of intentions and their results","9505 - being needful of escape from one s creative responsibility for what is occurring","7662 - one s courage is being weakened by despair and irritability over what one is in fear of here","2482 - to confront the sense of being wronged","76927 - one s authority and power is being harassed by an inherited awareness of one s shortcomings","86636 - to mitigate the scars of the past still hidden within one s vessel","68611 - a tense need to be recognized as having the power to heal and to create good outcomes","37867 - to better understand what prevents one from confronting events or feelings","3284 - inner connectedness out of focus","79627 - loss of power, purpose or drive, an inability to make happen","79272 - a sense of isolation that comes from concealing one s frustration","7967 - inappropriate inner urgings that are fouling one's self-esteem","1421 - feeling unable to attain true and ennobling intimacy with others","8627 - feeling penetrated by an overwhelming threat of loss or abandonment","79722 - inner vision, illumination and inspiration feel exhausted","81676 - the free soul captured by  turbulence in the material world","475477 - to bring into view an inappropriate compromise","68376 - fogged in by a stuck perception","8872 - unable to trust in the divine to supply what is needed","8276 - exhaustion and stress haunt one s vitality and openness"
" Res Exorcise","Core","Curse","Qi Tempt","Body","Outcast","Qi Disconnect","Survival","Ejection","Suppression","Kundalini","Decay","Rut","CONSTRUCT","Covert","If Only","Interfere","Tribe","CODE","ATTACH*","Qi Profane","Clamp","Qi Balance","JOY","HEART","Little Devil","EVIL*","IMPLANTIndex","Creation","Qi Letting Go","Meeting","Qi Isolate","Truth","Empathic resonance to exorcise the vessel of something that is creating inner darkness. Now is the time to knowThat all that you do is sacred.Now, why not considerA lasting truce with yourself and God.  - Hafiz: translated by Daniel Ladinsky*Empathic resonance is numerical coding that the inner uses as a catalyst to uncover, loosen, and disperse forces at hand. By such numerical empathy, the resonances aid in releasing the inner s grip on its own wounds.After the mode is put in, crossed over and tapped in, each number of the resonance is put in the active hand, crossed over and Tapped In. After entering the numbers, allow whatever is creating the inner darkness to come out of the forefingers into the welcoming love of the earth. Tap In. On completion, take a big breath and feel the energy settle. Tap In. Tap Up.","","","","","1","1","78316 - to lift away that which estranges one's energetic core and creates self defeat and inadequacy ","23177 - to displace the fear from one going through something that could be harmful or dangerous","9786 - to lift a seduction that is preventing one from enabling one's power","7237 - to loosen the grip that rejection, shame or a sense of ineptitude is having on one","73791 - to rise up out of the dark feeling of not belonging","7737 - to bring out the source of a lack of consistency","7217 - to exorcise preoccupation with a sense of inadequacy or fear of the death of something ","77418 - to exorcise the seeding source s yearning for power through the body or through materiality","81786 - to bring forward a suppressive lack of supportiveness within one that is decaying one's vigor","7397 - to enable the flow of change, to allow  things to be different ","77267 - to remove an imbalance that does not allow one to let go of what needs to be released","72378 - to encourage deconstructing a sense of unworthiness, anger and despair","67243 - to delete an unmoving subjectivity and feelings of fogged exhaustion","21212 - to disband the stress and fear of being found out","8228 - to exorcise the view of love as conditional","77277 - to dismiss a force impinging on the health, spirit and vitality of the vessel","72277 - to exorcise one of a family or tribally implanted harshness that is crushing one s free spirit","8166 - to thin out the defenses of an invalidative coding","72778 - to find an attachment and  compassionately disengage from it","9227 - to bring down the barriers to one s own true spiritual nature and its inner guidance","86470 - to exorcise a degrading inner obsession that is stifling one s flexibility and authority","8736 - to approach and clean a life force imbalance that corrupts reach and  sensitivity ","95782 - to exorcise a sense of inner emptiness or sadness, a lost or despairing feeling","86376 - to exorcise an unwillingness to let the heart open","83479 - to clean the lower mind that rises up as inappropriate inner thoughts or pictures","8888 - to delete an evil intention in one (find the evil purpose and go to Monster)","7972 - to begin retracting the trance command of an implant","7428 - to exorcise the feeling of being  vulnerable to sexual or financial lack","9722 - to enable letting go of old beliefs","88626 - to open one in gracious partnership with the divine","8777 - to exorcise a parasitic energy that envelopes one in isolation and aloneness","738167 - to exorcise an inability to see and approach the truth residing in a given area of one s life"
" Res Out Phase","Wrong","Overpower","RESCUERS*","Decay","FEELPOWER","Compromise","Hidden","Outcast","Freespirit","Mask","CONSTRUCT","Ejection","Hooked","Mistreatment","Faith","AUTHORITY","Overwhelm","Identity","ENVY","Clamp","Censor","Death","Qi Tempt","Frailty","State","Future","PASSKEY","Deepfeel","Core","Electricbody","Psychic","Weary","Empathic resonance to allow the energetic system to go out of phase with the force s wave form and electronically dampen its signal. The mind has exactly the same power as the hands: not merely to grasp the world, but to change it.  - Colin Wilson*Empathic resonance is numerical coding that the inner uses as a catalyst to uncover, loosen, and disperse forces at hand. By such numerical empathy, the resonances aid in releasing the inner s grip on its own wounds.After the mode is put in, crossed over and tapped in, each number of the resonance is put in the active hand, crossed over and Tapped in. On completion, take a big breath and feel the energy settle. Tap in. Tap up.","","","","","1","1","92779 - to excoriate the feeling that what one is doing, or wants to do, is not spiritually  right ","676767 - to erase an invasive sense of powerlessness ","73223 - to call upon a new state that can unclasp one from this inner force","9622 - to go out of phase with the feeling that one is being demeaned or seen as a failure","85193 - to disable a resonance between the force and the feelings","6239 - to put oneself out of phase with a force that creates inappropriate compromise","75122 - to enable one to go out of phase with a hidden inner force dispersed within the vessel","88692 - to halt a process of an inner sense of decay or inadequacy","43497 - to free oneself from generated limitations","72342 - to confront an impulse in one that denies one having what one wants ","8471 - to remove a construct that alters the true nature of reality","67276 - to restrain the belief that one is not loved","8727 - to unclasp field restraints ","87727 - to dampen one s inner anger, despair or bitterness from a past trauma or mistreatment","73261 - to put one out of phase with a loss of faith in oneself, in another or others, or in trust of the divine","67238 - to enable restraint on the negative expectations that are dismantling one s focus and confidence","7137 - to put one out of phase with the painful feeling of not being needed or wanted ","8278 - to dissipate a troubled identity that is being brought to the fore by other s actions","511815 - to decontaminate one s field of  having no real trust in Grace and feeling that one is a failure","33728 - to reconnect with one's own worthiness","29293 - to dissipate mental pictures associated with, and holding in, the force","4351 - to bring one out of conflict with the shadow of death ","678678 - to pacify one s persistent tendency to be drawn in by a disturbing self-suppression","73687 - to bypass an inner frailty or incompleteness that is preventing full confront","72327 - to enable overcoming an inner identity s weakening state about which one feels powerless to change","78432 - to help in facing the future with greater confidence","66279 - to bypass the locking mechanism that is discouraging one's penetration of the force at hand","62378 - to prevent one giving in to negative inner feelings","71252 - to enable finding one's 'home' so that charm and courageousness can be recovered","41894 - to enable body energetics to go out of phase with the force at hand","8114 - to enable clarity on the psychic aspect of what one is dealing with here","683687 - to retract from a nervous anxiety and bouts of lethargy"
" Res Relate","Creation","GRACE","Death","Nourishment","JOY","Mistreatment","Exchange","Wholeness","INTRUDER*","DOM YANG","Identity","IMPLANTIndex","Ejection","Deepfeel","OBFUSCATE","BLOCK","Outcast","Qi Step","Powerdrive","Ejection","CHARISMA","Held","HEART","MISSION*","STRESS","Together","EXHAUSTION","Receptacle","MISSION*","Truth","Maya","CODE","Empathic resonance to illuminate the brakes that one puts on the dynamics of one s relationships with others of with the divine. Love asks you beautiful, unanswerable questions.  - Carl Sandburg*Empathic resonance is numerical coding that the inner uses as a catalyst to uncover, loosen, and disperse forces at hand. By such numerical empathy, the resonances aid in releasing the inner s grip on its own wounds.After the mode is put in, crossed over and Tapped In, each number of the resonance is put in the active hand, crossed over and Tapped In. On completion, take a big breath and feel the energy settle. Tap In. Tap Up. ","","","","","1","1","466257 - to release the shame that inserts itself into one s fertile creativity","7838 - to restore one s trust in the power of self forgiveness and compassion for others ","61217 - to see that force which makes one feel ignored or suffering in one's relationships","86777- to absolve one of that which has been wounding one inwardly ","87878 - to restore the joyful fertility of true union","8132 - to understand the force of abuse or mistreatment one experiences within relationships","86796 - to restore one s sense of potential and value ","665349 - to enable one to be nourished by a relationship","36546 - to expose the catalytic seed of a relationship s destruction","8343 - to lift away one s self repressive closing off of the power one really has within one","91247 - to reveal a hidden or unwanted identity within that smothers inner Grace","927878 - to pierce the roots of an interference by finding the underlying implant","67916 - to regain clarity within relationship by removing guilt and the need to be respected","75286 - to clarify the deep granulations that invade one s feelings in relationships","74287 - to help the inner be expressed within relationship","5363 - to remove a cultural or family block on relationships ","7872 - to enable a fulfillment of one s  hungering heart","72327 - to lift away one s passive acceptance of a self-denigration","75157 - to release the seeding source s need for a type of power within their relationships","74278 - to enable being present in full and directed intimacy within relationships","67734 - to reinvigorate one s interpersonal charisma","3376 - to remove the state of unreality and withdrawal that comes with trauma and shock","37742 - to reopen a stressed or lonely heart","71422 - to open oneself and the seeding source to a new outlook regarding relationships","6283 - to lift the stress of an unbalanced approach to life (either too much yin or too much yang) ","737421 - to soothe a relationship that is pressuring and congesting one","87244 - to understand what is taking one s life force from within ","81521 - to reveal what makes one  shrink  in relationships and lose one's charismatic presence","23512 - to remove a rejection of union within one so that one s Mission of love can be felt","715278 - to restore accurate seeing versus delusion within relationships","71325 - to illuminate one's model for relationships that is preventing change ","8628 - to illuminate a trauma coding that interferes with relationships"
" Res Restart","Haze inner","MISSION*","Body","Qi Element","Growth","INFLAME","Living","PILOT","Seeing","Ejection","Blinded","Outcast","DEFENSE","Hidden","IMPLANTIndex","Deepfeel","GRACE","Seeing","Meeting","Compromise","INFLOW","Electricbody","Death","HEART","Tickle","ATTACH*","SERVANT","AUTHORITY","Qi Confront","RESOURCE","Kundalini","INTRUDER*","Empathic resonance that calls on the inner s energetic system to restore a former state or to recover what has been lost. I prayed for freedom for twenty years, but received no answer until I prayed with my legs.  - Frederick Douglass*Empathic resonance is numerical coding that the inner uses as a catalyst to uncover, loosen, and disperse forces at hand. By such numerical empathy, the resonances aid in releasing the inner s grip on its own wounds.After the mode is put in, crossed over and Tapped In, each number of the resonance is put in the active hand, crossed over and Tapped In. On completion, take a big breath and feel the energy settle. Tap In. Tap Up. ","","","","","1","1","9127 - to recover from an inner confusion","82377 - to recover the power and ability needed to accomplish one s Mission of love","2437 - to restore the experiential integrity of the body and its existence within materiality","86268 - to restore confidence in one s inner guidance","8232 - to recover the sacred command for inner growth","78686 - to relieve an inner irritation","83787 - to recover emotional stability in the face of conflict or cruelty","73137 - to correct an element imbalance in the inner ecosystem","72412 - to lift inner vision and to see, with clarity and compassion, the nature of one's reality ","72278 - to release an unwarranted self blame regarding the situation here","76267 - to aid in cleaning inner vision","78626 - to relieve the compressive stress of aloneness and deterioration","8636 - to recover the ability to stand up for self in the face of attack","91616 - to begin dispersing the seeding source s disquiet within one that has been hidden until now","80622 - to enable the inner to awaken from the trance of an implant","79277 - to relieve one's inhibition of a deep inner feeling","76486 -  to trust in the divine, to believe in the goodness of others, and to let go of all one s self invalidation","67676 - to recover understanding, compassion and inspiration - both given and received","7367 - to restore the energy of one s unconditional love for life in the physical world","61161 - to understand and overcome an inner compromise","7468 - to loosen a tightness that prevents inflow","74278 - to restore the energetic vitality of the vessel","86778 - to recover understanding of one s value in the eyes of another or others","27842 - to recover the ability to open one's heart to another","82312 - to understand the presence of  Grace in one s life","3644 - to remove the stress from an  attachment","3526 - to remove an inner constriction that has taken control and is throwing one into distrust and frustration","97679 - to reinstitute the sense of inner authority, charisma, presence, dynamism","37742 - to recover one s ability to face something","79786 - to recover self respect and clarity","82328 - to relax the solidity of a belief or outlook that is binding one s creative flexibility","686876 - to extract and clear an intrusive overwhelm stored within"
" Res Seed","Hidden","Courage","OBFUSCATE","MINDFIELD","Ejection","Together","Haze Outer","Prescience","Meeting","Qi United","Frailty","Illness","Meaning","Creation","Survival","Tribe","ACCOMPLISH","EM","Covert","Growth","Meeting","Faith","Compression","Exchange","Lame","Sensitive","MISSION*","Freespirit","Rut","HEART","Compromise","Qi Balance","An empathic resonance that begins the awakening and rebirthing process of one s deeper resourcefulness. Earth's crammed with heaven.  - Elizabeth Barret Browning*Empathic resonance is numerical coding that the inner uses as a catalyst to uncover, loosen, and disperse forces at hand. By such numerical empathy, the resonances aid in releasing the inner s grip on its own wounds.After the mode is put in, crossed over and Tapped In, each number of the resonance is put in the active hand, crossed over and Tapped in. On completion, take a big breath and feel the energy settle. Tap In. Tap Up.","","","","","1","1","7577 - to bring to light a hidden dispersal within one","5766 - to find the courage to reclaim one s power","4271 - to remove barriers to the expression of an inner need or state","61161 - to open to the greater possibilities that can open to one","93433 - to mollify one's rejection of others or of the divine","37567 - to help rebirth one s finding union within sexual or other relationships","65473 - to rescue the warrior within from a perceptual confusion","7273 - to remove a force stored within the mindfield that brings pain, or creates false paradigms","4077 - to open one to meeting the divine within material life","7532 - to clear a confusion about what one must give to others in order to bring about fulfillment","9527 - to bring to light and restore the weakness of some inner faculty","69696 - to lift an energetic dislocation within the vessel","58119 - to help recover understanding of that which gives meaning to one s existence","786766 - to bring one into being able to honor mystery, to make quantum leaps beyond linear logic","82342 - to retract a sense of non-survival or meaningless pain","95677 - to help awaken from a tribal dream - cultural, religious or family consciousness","92363 - to help one in establishing and  pursuing a goal","7423 - to clear an inner dispersal of one s life force that is creating confusion or distrust","75673 - to help uncover a hidden agenda within that is conflicting with one s hope for accomplishment","777 - to recover the sacred command for growth within self","35821 - to rebirth the call of the divine within one s material existence","726622 - to recover one s self-esteem","78232 - to help direct recovery of a resource that is compressed within one","74172 - to awaken one from the stored degradation associated with sexual union","8757 - to penetrate those forces that are disabling full exercise of one s ability","74278 - to clarify the sensitivity of one's feeling level discrimination","6687 - to help open the inner to one s Mission of love on this planet","8347 - to decompress one's bondage to the material universe","67836 - to help in recovering one s ability to act in serenity","6348 - to open the heart to rebirth","723523 - to rebirth one from an inappropriate compromise ","91242 - to begin the process of restoring inner yin-yang balance"
" *Tension Point helpmode","","","","","","STRESS","","","","","","","","","","","","","","","","","","","","","","","","","","","Stress can be held into the vessel by forces grasping and  locking on  at various points in the body. Tapping at these points takes away the force s support and allows it to shift away from the inner tension of now inappropriate beliefs. God loved the birds and invented trees. Man loved the birds and invented cages.  - Jacques DevalTo ease stress within the system, load the helpmode then TL on the body for a point and tap on it gently while breathing deeply and letting go of one s sense of stress until weakness is attained. Tap Up. Go to Stress.","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," ",""
" Res Whole","CLARITY","Genetic","CHARISMA","Compartment","Sensitive","Attend","Body","REALIGN","Wall","CLARITY","OUTSYNCH","Little Devil","TERRITORY","Overwhelm","Yangflow","Purpose","Compression","MINDFIELD","Purpose","Creation","Birth","STRESS","Weary","Story","ACCOMPLISH","Mistreatment","Vessel","OBFUSCATE","DEFENSE","JOY","Illness","Innerworld","Empathic resonance to bring vibrancy to the whole inner in order to better reclaim oneself from the forces at hand. The world is charged with the grandeur of God.   It will flame out, like shining from shook foil.  - Gerard Manley Hopkins  God s Grandeur *Empathic resonance is numerical coding that the inner uses as a catalyst to uncover, loosen, and disperse forces at hand. By such numerical empathy, the resonances aid in releasing the inner s grip on its own wounds.After the mode is put in, crossed over and Tapped In, each number of the resonance is put in the active hand, crossed over and Tapped In. On completion, take a big breath and feel the energy settle. Tap In. Tap Up.","","","","","1","1","71679 - to dismantle the tendency towards  fuzzy generalization and create a more precise clarity","2935 - to clarify the body s genetic blueprint and move it into a wave of relaxed healing ","169961 - to brighten personal presence before others","78787 - to allow one to recognize one s power and be more confident about what one is hoping for","81618 - to allow for a greater sensitivity to the rhythms of one s life","72627 - to ameliorate inner focus","79518 - to reinvigorate one s psychic underpinning in the material world","61769 - to enable a clearer understanding of the seeding source and one s connection to them","64859 - to recover the ability to change and transform","89718 - to help energize one s mental clarity and ability to know truth","6963 - to improve coordination between the inner and the outer worlds","3786 - to override the inner voice that is misleading one","72327 - to restore instinctive accuracy","72823 - to enable resistance of the vessel to unbalancing stress","77877 - to help better one s creative outreach","71217 - to restore one s sense of purpose and possibility","28447 - to revitalize a loss of vibrancy that has arisen from the claustrophobia of  invalidating failure","49618 - to help bring vibrancy and choice to the considerations circulating within one s mind","77961 - to revitalize the loss of drive one is suffering because of the shock or failure still lingering in one s life","676167 - to express oneself through a creativeness that has a powerful effect on others","70786 - to clear a jammed flow of inner fertility and allow the birth of the new","49778 - to counter psychic or emotional stress","767 - to restore and refresh one s overly stressed nervous system","61216 -  to disentangle from a myth, story or lesson that is inappropriately molding the inner ","68897 - to resurrect one's courage, ability and drive to accomplish goals","76767 - to dismantle the disruptive effect of the seeding source s past self invalidation","789789 - to recover one s residence in own true identity","61816 - to enable one to speak out and express the nobility that is within one","73222 - to reinvigorate the vessel s defense mechanisms","6127 - to illuminate and bring vibrancy to one s ability to digest life","96778 - to bring an identity within out of illness or unease","76278 - to enable one to take the actions necessary to nourish oneself "
" Res Worry","Core","ACCOMPLISH","Aversion","Innerworld","Growth","GRACE","Anxiety","Exchange","Concealed","Creation","IMPLANTIndex","Outcast","Unburden","Control","CONSTRUCT","Courage","Truth","Body","Decay","Wall","Compromise","Mask","Covert","CHARISMA","Faith","Identity","Inversion","Death","Dimension*","Hunger","Held","Compression","Empathic resonance that helps one s inner to alleviate anxiety and distrust regarding the choices one is making in one s life. If we can humble ourselves, and allow ourselves to see the world without our own beliefs and dogmas, then we could see so much beauty awaiting us in each moment.  - Sukh Chugh*Empathic resonance is numerical coding that the inner uses as a catalyst to uncover, loosen, and disperse forces at hand. By such numerical empathy, the resonances aid in releasing the inner s grip on its own wounds.After the mode is put in, crossed over and Tapped In, each number of the resonance is put in the active hand, crossed over and Tapped In. On completion, take a big breath and feel the energy settle. Tap In. Tap Up.","","","","","1","1","7978 - to relieve anxiety over not feeling at ease with the inhabitants of this world and their paradigms","72271 - to relieve anxiety about not having the (love, money, security, success, etc. - TL which) one wants","826178 - to alleviate an anxiety driven frustration","7837 - confusion and anxiety around one s place in this universe","7342 - to release a reluctance in both the seeding source and oneself to free oneself of anxious inner turmoil ","9668 - to ameliorate worry over being unable to open to Grace","1047 - to help the process of alleviation of a mental anxiousness","82328 - fear of facing what is within one here, or fear of seeing the inner of another","72676 - to help lift away the sense that there is something dark concealed within one","7278 - anxiety about one s ability to overcome the darkness here and find true healing and renewal ","8888 - to loosen the tension one is suffering with another or others because of a mutual implant","62326 - stressed by not knowing what to do to bring about the fulfillment one yearns for ","769276 - to release a feeling of growing insufficiency or inadequacy ","92629 - anxiety about a situation that one feels one has no control over","7378 -  I want to be open and spacious, but something will happen to betray my hopes ","47953 - one s financial or relationship life keeps feeling anxiously harangued by the fear of oncoming failure","67816 - anxiety about what the truth may really be that is underlying what one is undergoing here","8327 - to release one s worry over health, relationship or financial problems (TL which is strongest)","72467 - anxiety over one s intentions apparently not working ","7767 - anxiety from being unable to change or transform","72232 - to loosen the strain of inner accommodation or outer compromise","835995 - anxiety about how one is viewed by others ","76767 - the fear that what one has been hoping for is falling apart ","31217 - to relieve one s anxiousness over an empathic interface one finds oneself having with another","35656 - the fear that one cannot do anything about what is happening","832347 - to release the stress of a difficult  identity that is within one","586738 - frustration and anxiety about being free and successful","73271 - to loosen distrustful anxiety about one s value or significance to others","9756737 - anxiety regarding a sacred attribute (TL which dimension)","79367 - to lift a hunger that is weakening one","737837 - worry from a feeling memory","737879 - to soften and  lift away the inner tightness that is frustrating one"
