File Code,Set#,Set total,Q1,Q2,Q3,Q4,sm0,sm14,sm124,sm245,Goto sm0,Goto sm14,Goto sm123,Goto sm245,sm1,sm15,sm123,sm345,Goto sm15,Goto sm124,Goto sm345,Goto sm1,sm23,sm125,sm1234,sm2,Goto sm23,Goto sm125,Goto sm1234,Goto sm2,sm24,sm134,sm1235,sm3,Goto sm24,Goto sm134,Goto sm1235,Goto sm3,sm25,sm135,sm1245,sm4,Goto sm25,Goto sm135,Goto sm1245,Goto sm4,sm34,sm145,sm1345,sm5,Goto sm5,Goto sm34,Goto sm145,Goto sm1345,sm12,sm35,sm234,sm2345,Goto sm12,Goto sm35,Goto sm234,Goto sm2345,sm13,sm45,sm235,sm12345,Goto sm13,Goto sm45,Goto sm235,Goto sm12345,Mode,Information
 Attend,1,1,,,,,"With this, one’s true power to create and accomplish is difficult to accept",Congested life force is preventing a sense of easy flow through time,The seeding source’s damaging influence over one’s confident authority befuddles the clarity of one’s insight ,A stress around or within one deters attentiveness and focus,Blinded,Qi Congestion,AUTHORITY,STRESS,The certainty of one flourishing is being stripped away here by the seeding source’s pain here,This is causing a discomforting disturbance in one’s electromagnetic field that needs to be corrected,"With this, there is compression in one’s lower abdomen, diaphragm or cranium - TL which, hold to release","The pleasures of the present are being invaded by a painful fear of future failure, rejection or abandonment",Electricbody,Compartment,Concealed,Seeing,But the seeding source’s burdening failure and sense of loss is creating a fear in one of what may come,This unbalancing inner state detracts one from the freshness and wonder of what is about to open to one,An inner fog of confusion and anxiety about the future is driving one out of being present in the moment,The force of a relationship problem in the seeding source’s past is barging into one’s own relationships,Exchange,State,Haze Inner,Together,The seeding source’s mental outlook is distorting one’s own perception of the power of divine guidance,One’s magic is being blocked by the active cluster of self demeaning beliefs within the seeding source ,One’s attention is trapped by what one does not have or what one feels one will never have,"The apparent loss of an inner power, that one feels one once had, has been sapping one’s optimism and drive",CONSTRUCT,Clutch,ENVY,REJECTING,"Loss of faith in others and in Grace’s guiding hand is making the present feel painful, without real hope",A tribal state around the seeding source is stopping one from seeing the truth and the love that is here for one,A life force imbalance that interferes with being in the moment by weakening one’s vitality and confidence,One’s disquietude from this is making one also unable to intuit the Grace that is in one’s life,Faith,Tribe,Qi Interrupt,GRACE,Denying one’s feeling of impotence here  is not helping to bring one the fulfillment one truly desires,A trauma code is eating away at one’s ability to be in and enjoy the present moment,An enigmatic counter intention within the darkness of the inner keeps distressing one’s attention,Guilt within one draws one away from the joy or ecstasy of the present moment,Ascend,Deny,CODE,Res Dark Angel,One’s attention gets trapped and knotted within the seeding source’s turbulent distrust and despair,"Angry feelings of inability or failure, or fears of being cast out, are sapping one’s attention",One is being driven out of the present by a missing truth,An intrusion into one’s inner world is   dispersing one’s focus on the grandeur and abilities one has,MAZE,Outcast,Truth,INTRUDER*,Despair and murky ambiguity befuddle and darken one’s hopes for solving what is going on,The need for power over others pulls one out of present time,Irritation at the cellular level knocks one away from the present moment,An unacknowledged meaning of one’s existence foils one’s alertness in the present,Obscure,Powerdrive,Cell,Meaning,Untitled.pct,"Attend concerns interferences with one’s ability to be in the present moment, to concentrate and attend to what is here within the inner without the imposition of past standards, to go beyond defending or escaping from oneself, and letting go to the whisper of Grace.
The key to being in present time is by the seating of one’s heart in an attitude of gratitude and admiration for what is. Attend examines those patterns of force that are thrusting one into ungratefulness and disapproving bitterness towards self, others or circumstance.

'The present is the only thing that has no end.'  - Shroedinger

Note: In session, when this force is at hand, one will sometimes tend to ‘drift off’."
 Authority,1,2/F,,,,,"And although one is giving the appearance of being strong and confident, inwardly one is saddened by this",The seeding source’s sense of authority over the ambiance of their life is being deeply invalidated,Interference from the agendas still walled within the seeding source makes one lose trust in one’s true nobility,One’s authoriy is caught up and lost within a bitter woundedness within one,Decision,CHAINS,Qi Attunement,MAZE,Authority over one’s outer life can be restored now by healing the seeding source’s anguish here,The force here was created when the seeding source felt their life being choked by despair and opposition ,The seeding source’s bitter despair (Crisis Outer) and its effect on oneself can now be fully cleared ,One’s confidence is being further perturbed by the lack of genuine hope expressed by others,EXHAUSTION,Unburden,CRF,OUTSYNCH,The struggle within all the frustration one is feeling is a false belief that one is doing something wrong ,"In essence, one’s self confidence is being shadowed by the seeding source’s bitter sense of let down",This is causing one to reject an inner component of one’s true authority and power,The seeding source’s sense of being powerless has been subliminally shackling one’s ability to manifest,Nurture,Curse,REJECTING,Body,There is a resulting diminishment in one from this about the authority one has over one’s life path,One is being draped by the seeding source’s forces here that are diluting one’s ability to heal one’s state,One’s sense of confident authority is being gripped by the seeding source’s frustration and powerlessness here,In this there is a block to the truth that is emanating from a belief one is absorbing from the seeding source,Haze Inner,Overpower,INFLAME,BELIEF,One’s fear of being let down is entrenched within the stagnation of a life force flow in one’s vessel,All this disorientation haunting one here is being held in place by an implant shared with the seeding source,A difficult state that one suffered in one’s past is justifying one degrading one’s authority over one’s life,Here one is taking on the seeding source’s self repressive sense of no longer having any good luck,Qi Upreach,"IMPLANT
Index",Lineage,Suppression,One’s self confidence is being perturbed by a force pattern that the seeding source feels unable to change  ,One’s authority is being crushed by the anxious weight of a traumatic experience veiling the seeding source ,One’s sense of authority is being defiled by this and requires one to seek atonement and spiritual growth,"With the seeding source’s anger and despair on one here, authority over one’s material life feels nullified",Powerdrive,Held,Crisis Outer,Growth,One’s confident strength is being wounded by the anxiety here that is leading one away from what is true,The seeding source’s burdening sense of lost authority over their life is being passed on to one here,There is a psychic storm in the seeding source that is attacking one’s confidence and sense of authority,There is a negating seeding source influence over one’s authority and confidence,Misinformation,Clutch,"Psychic
",Ancestor,One needs to find the key to clarify and restore one’s authority and power in this area,A fixed idea about power and authority is demeaning one’s true nature,A depleted buoyancy level is bringing a sense of limitation to one’s authority and power,The feeling of this is that one’s inner authority becomes turned against itself,PASSKEY,Fixation,Tone,Inversion,Untitled.pct,"Inner authority, the sense and experience of peaceful confidence, authority over the self, charismatic strength, boldness, integrity, and the honor of one’s creative wholeness.
When you have faith in yourself, you are free. 

‘Once we believe in ourselves we can risk curiosity, wonder, spontaneous delight or any experience that reveals the human spirit.’ - e.e.cummings

"
 Authority,2,2/F,,,,,One is distrusting one’s power and succumbing to a fear that one will never attain what one hopes for,A belief that creates disturbing feelings about power and authority over the self,And because of this one lacks an understanding of the reality of one’s authority,One’s confidence is being obscured and is preventing one from expressing of one’s authority and uprightness,Clamp,Haze Inner,Frailty,OBFUSCATE,The seeding source’s pained projections have been robbing one of trust in oneself and one’s abilities,And with each episode of failure one’s self confidence keeps tumbling back into a numbing despair,One’s mistrust because of this is fogging one’s clarity and creating uncertainty about what lies ahead,A belief held to make self right and others wrong fragments one’s inner authority,Deepfeel,Purpose,Excuse,Birth,What is emanating from the seeding source creates a false fear that one’s hopes are untrue,One regretfully senses that one’s authority is being rejected and that others are compromising one’s vision,Confidence and power in one’s creativity and potential for fulfillment is being painfully closed down,Now one is absorbing the distress of others and letting it disable one’s own ability to heal or succeed,Overwhelm,Compromise,Creation,Tribe,The seeding source’s mental framing about their life is contradicting one’s desire for authentic confidence,One is being led astray from one’s self confidence by the family’s or tribe’s invalidating anxiety,"There is a trauma coding creating a harsh confusion in the area of one’s authority, power, and uprightness",A veil of illusion is darkly clouding the clarity of one’s self-esteem and drive towards action,CONSTRUCT,"ASTRAY
",CODE,Maya,This state of anxious frustration has been further amplified by one’s loss confidence in the divine’s support,A shadowy archetype hoods one’s authority with an inner darkness,A need to decompress and open an inner space within the vessel to promote one’s authoritative action ,One’s confidence is being restricted by an absorbed or inherited identity that cannot express its power,Aversion,Dark Levels,Qi Step,Kundalini,Intrusive feelings of vulnerability and deterioration are eating away at one’s confidence and integrity,One is carrying a struggle within one’s heart that is sapping one of power and certainty,The full exercise of one’s resources is being lamed,A denial within one is invalidating one’s confidence and leading one away from the promise of one’s freedom,Deny,VULNERABLE,HEART,Lame,"A swirling haze of belief is belittling one’s true authority, stable sense of certainty, and ability to manifest",One’s receptiveness to good fortune is being distracted by a permeating stress  on one’s confidence,One’s inner authority is being soiled by an invasive force,One’s authority is being equated with loneliness,Haze Outer,DOM YIN,INTRUDER*,Outcast,An inner disconnection is infecting the expression of one’s power and vision in this world,Sexual or financial problems are affecting one’s power to stand tall and make what one desires happen,One’s earthly self feels disconnected from the realms of divinity ,Afraid of rejection by others if one is ‘too assertive’,Hallways,Exchange,Meeting,Courage,Untitled.pct,"Inner authority, the sense and experience of peaceful confidence, authority over the self, charismatic strength, boldness, integrity, and the honor of one’s creative wholeness.
When you have faith in yourself, you are free.

‘Once we believe in ourselves we can risk curiosity, wonder, spontaneous delight or any experience that reveals the human spirit.’ ~ e.e.cummings

"
 Authority facilitation,F,2/F,,,,,"Get a vision or concept of the creature that is in the TL area, wrap it with light and flare it away",Inwardly embrace this identity within one  until it turns into light,Yang stimulate GV22 - then stimulate another point that now comes on display and follow its goto,Crystals on CV2 ( memory feelings that interfere with integrity) and on GV2 (integrity bowed) ,,,,,TL for a Bl point to stimulate - then follow its goto,Anoint a body TL with an oil (or an oil resonance) and ask for the divine’s help  - follow oil’s goto,Go to Pray - pray on behalf of the seeding source so they can find release from their unease here ...,"Put one hand on the force TL, pray for its release and send the force into mother earth via the other hand",Oils,Pray,,Bladder meridian,An empathic resonance to induce fresh enhancement of one’s confidence and authority,Appeal to Grace and ask that one’s past disappointments be understood now as precursors to success,Pull out the belief in the TL (find if not yet located)  - pull out with hands as if it is a wet rope or chain,"Life force is being pinched and needs releasing to support one’s integrity, confidence and dignity",Res Fresh,,BELIEF,Qi Pinched,Oneself and the seeding source open to Grace together and feel any distrustful feelings peel away,"Bless a crystal with an oil or its resonance, place it on the force TL and surrender to its healing - follow oil’s goto","With a sense of the sacred, massage a fragrant oil into a TL - follow oil’s goto","Put an oil on the palms, put in Pray mode and pray",,Oils,Oils,Pray,"Offer a TL up to the divine (TL can be in a chakra, field, body, or in the environment) - allow Grace to work",Authority and self-confidence reside in the understanding of an identity archetype that is in one,"TL for a dimensional chakra, front or rear aspect, and go to Chakra Facilitation",Pray that the harmony between one’s inner world and one’s outer circumstances be allowed to return,,ID Archetype,Chakra Facil,,Envision seeing oneself from within the seeding source’s vessel to reveal one’s living inner fire and beauty,Look for areas of blackness first in one’s own field and then in the seeding source - turn them white till cleared,Grounding resonance to enable the seeding source to more fully confront and handle a circumstance,Empathic resonance to stimulate improvement of one’s sense of authority over one’s life,Res Catalyst,,,Res Integrate,Qi stimulation to lift the hopeless feeling of being left out or emotionally isolated from others in some way,TL for and then yang stimulate an acupuncture point - then follow its goto,TL for and yang stimulate a CV or a GV point - then follow its goto,Stress Facilitation,Qi Joining,Meridian TL,,Stress Facil,TL for and then yin stimulate an acupuncture point - then follow its goto,Four point acupuncture to exhume a force that hinders inner authority,Shift the Great Yang chakra position (up/down/sideways/front or rear) until its light cascades,Empathic resonance to enable one’s ability to confront the forces at hand,,Qi Four,,Res General,Untitled.pct,"Facilitation: 
Put the General Facilitation mode in the active hand, and cross over to the other hand with the Authority mode and Tap In. Locate facilitation."
 Aversion,1,2,,,,,One feels unable to halt a resulting invalidating or threatening thought stream that corrodes one’s hopes,This stress within one is making one unable to grasp the simple truth behind one’s turmoil,The seeding source’s penetratingly turbulent shame is paralyzing one’s  progress to a solution,The fear that one will never be able to get enough of what is wanted,Little Devil,Seeing,Need,ACCOMPLISH,A time of trauma in the seeding source’s life (Crisis Outer) has been psychically compressing one,And one has allowed one’s ability to create fortunate change to be skewed by the seeding source’s state ,"This allows the seeding source’s energies to keep pervading one with distrust, self invalidation and frustration",Deep in the seeding source’s and one’s own tribal pasts there is shame for not having material success ,Unclean,Outcast,ENVY,Psychic,One has been succumbing for some time to the pain and limitation being projected by the seeding source here,"With this burdening one, one keeps polluting oneself with a belief that others are judging one negatively",The seeding source’s state draping one’s desires is preventing one from seeing them as truly possible,One is also being permeated by the same force from a collective that is impacting the seeding source here,Strength,Overpower,OBFUSCATE,CRF,And this is creating a background despair in one of feeling like a failure and of losing touch with one’s magic,"With this, one is haunted by feeling unable to believe that one is truly wanted, that one has lost one’s ‘touch’","One will not get others to act in support of one, and feeling ignored or dismissed as a result",The seeding source’s self devaluing inner guilt has been muddling one’s own true strength for some time,Death,PILOT,AUTHORITY,CLARITY,The confining sense of let down within the seeding source and one’s own resulting mistrust needs remedying,One has been creating a force in one that attracts problems to punish oneself for  one’s hubris,The subtle continuing permeation of this is confusing one’s vessel’s emotional energy flows,This results in one reflexively feeling unheard by Grace or not loved by others,BURDEN,Powerdrive,Electricbody,Overwhelm,This inner oppression is creating concern about one’s closeness with another or with Grace ,One is allowing oneself to succumb to the seeding source’s angry psychic striking out here,This is making one unable to let others get too close,A frustrating shame of having no real authority over one’s life keeps haunting one because of this,Death,Together,VULNERABLE,Ejection,This unwanted state is pushing one to project an unnecessary precondition to one’s success,The sad or regretful feeling of wasting one’s innate talents or resourcefulness is haunting one,And frustration in one's relationships or finances is being projected at one by one’s unawakened affinity net,This comes from the seeding source’s  sense of having no choice over their emotional posture here,If Only,RESOURCE,ALLIANCES 1*,Held,"Being unknowingly insensitive towards others, frustrated in not ‘picking up’ on their real needs & feelings",This negating irritation in one is rejecting the warmth and courage of one’s convictions ,This creates aloneness - a yearning for companionship but unable to let go of the dark feelings within one,Being unable to make nourishing or appropriate choices creates a frustration that wears one away ,Sensitive,JOY,Qi Dark Yin,Decision,Untitled.pct,"Aversion is a hypersensitivity that comes out of frustration.

Page 1 concerns aversion as an expression of reluctance to allow closeness and intimacy or to take it upon oneself to fulfill a goal - inner feelings that frustrate one into turning away from others or from one’s purposeful attainment.

‘Love cures people — both the ones who give it and the ones who receive it.’ - Dr. Karl Menninger"
 Aversion,2,2,,,,,"Not letting go of loss, betrayal or a failure in the past is pinching one with painful distrust  ","Not wanting to be the way one is - self rejection, loss of confidence and ability to make sound decisions",One is hesitating to allow change because of the absorption of the seeding source’s shame or regret,Frustration through a self-sabotaging mechanism of not knowing what to do or inability to take action,Yoke,CODE,Kundalini,Wall,A distressing paradigm about self worth harassing the seeding source  is pressing one from within ,This long term inner frustration is creating a repetitive distortion in one’s outlook and sense of fulfillment,A poisonous tension is within one that keeps invading one’s interactions with others,A presence or parasitic force is caught in the field of one’s vessel,Interfere,Toxic,ATTACH*,Tribe,One’s vision of change is permeated by a stress in the seeding source draping one with expectations of failure,This has been making one prone to a discomforting belief within the seeding source,The infectious invasion from the seeding source is frustrating the sense of one’s growth,One’s confidence regarding one being needed by another is being stressed by nagging uncertainty,PULSING,Haze Outer,Viral,STRESS,This state unbalancing one needs to be altered through the gentle prodding of an empathic resonance,Something within one has been left unattended for too great a time,One is caught in a conditionality or neediness,One is reflexively rejecting Grace’s guidance in a difficult area of one’s life and denying a positive result,Res Change,Decay,If Only,Ancestor,The seeding source’s suppressive self pity is clouding one’s creativity and sense of inner harmony,This is causing one’s inner efforts to attain the outcomes one desires not to succeed,Aversion regarding one’s own or another’s creative energies is leading one to abandon one’s values ,One is being frustrated by an inner resource that feels unavailable or damaged in some way,Illness,Concealed,Creation,RESOURCE,One is being brought face to face with the outer signals of a profound wound in one’s inner world,There is a sense that one has fallen away from one’s true path and now one is calling out for help,A disturbance within one’s sexuality or finances makes one frustrated and insecure,One feels filled by a stinging darkness that is denying one the hope of being fulfilled and nourished ,"Nourishment
",OUTSYNCH,PILOT,Exchange,Receptiveness to love and success is being blinded by a permeating despair or self invalidation,One’s brave spirit is being stifled by the unchanging sameness and failures within one's material existence,One is fogged in by an inner confusion,Lost faith in oneself and succumbing to others,BLOCK,Rut,Haze Inner,Faith,An implant trance crouching within one is broadcasting a sense of self-invalidation and physical deterioration,One feels unable to integrate one’s noble values with one’s purpose in life,"Being unable to love oneself through the presence of one’s guilt, shame or regret",A belief that has settled within one is creating self dislike,"IMPLANT
Index",Purpose,Dark Levels,BELIEF,Untitled.pct,"Aversion is a hypersensitivity that comes out of frustration.

Page 2 portrays frustration towards oneself - self-dislike and reflexive disconnection from noble values.

‘Love cures people — both the ones who give it and the ones who receive it.’ - Dr. Karl Menninger"
 Bacterial,1,1,,,,,One has been unable to rise above the seeding source’s inner' turmoil here for some time,One is feeling undernourished by life,This fermenting uncertainty here has been creating a destructive inner tension and nagging despair in one,Ask an angel to soothe away one's unease and loss of confidence,Freespirit,Nourishment,Illness,Deepfeel ,There is a driving need for respect and admiration from others to compensate for one’s own hidden shame,"One’s creativity, finances or relationships are being inflamed by the underlying anger in the seeding source",A deep implant trance is demeaning one’s confidence and enthusiastic intentions,One is being inwardly opposed by an unreadiness or inability to confront something or someone,INFLAME,"IMPLANT
Index",Ready,Powerdrive,One’s innate power to attract and manifest what one needs or wants with ease is being repressed,"Disappointment, suspicion and the loss of a sense of accomplishment are fermenting within one from this",One’s inner sensitivity or intuitive resonance is being made inert,This is seducing one away from one’s own powerful insight and leaving one doubtful and suspicious,CHARISMA,CHAINS,Sensitive,Qi Tempt,One is justifying this by falling into one’s own or the seeding source’s (TL which) true other life drama,Unease and lack of confidence in one’s place in the scheme of things ,Rejecting transformation for oneself or others,A trauma coding of inner irritation and concealment boils up within one,Scripts*,Blinded,RESCUERS*,CODE,Being unable to bond the material self with one's divine roots is fermenting one's inner forces,The seeding source’s trauma is fermenting within one  ,Not persisting on one's path,Unease and confusion from being unable to envision a purpose and procure one’s direction towards it,Meeting,Crisis Outer,Path,Rut,One’s inner is intoxicated by a false system of beliefs that are intruding on one’s freedom of choice,Self-punishment for committing a harmful act,Lack of a centered presence within relationships stirs up one's forces,Inherited or absorbed perturbed feelings are creating  communication and intimacy problems with others,Deepfeel,Clutch,Harm,CHARISMA,An ingrained unease from a suppression upon one foils one’s hopefulness and faith,Compromising one’s pwer and nobility by giving way to unease and loss of confidence,A rigid unease and lack of confidence about shifting to a different attitude or perspective,A force dispersing itself within one’s field is creating emotional and mental confusion,Nurture,Compromise,Move,Hidden,Complete sexual union or financial abundance is confused or being stolen from one in some way,"Unable to stay comfortably in present time, being distracted by past or future concerns",Unease towards dynamic and guided action in the world is dissipating the strength within oneself,Inner voices and intrusive thoughts keep creating havoc with one's ability and passion,Exchange,Attend,Rising,Little Devil,Untitled.pct,"Factors that contribute to an inner ‘fermentation’ of forces. Such a fermentation appears to intoxicate the inner, and signals as unease and lack of confidence, rejection of one’s spiritual nature, as well as problems in close communication with others.

Bacterial can also indicate pre cursive bacterial susceptibility on the physical level.

‘To forgive is to set a prisoner free and discover the prisoner was you’. - Unknown "
 Belief - unsurrender,1,11/F,,,,,‘I am physically or mentally deteriorated’ ,‘I am forbidden to love or be loved’,’I have failed in the role in life that I hoped for’,‘I cannot show what is powerful in me’,Res Restart,Entry,Unclean,Clamp,‘My hopes are dead’,‘Others are getting what I believe I should have’,‘I cannot be what others want me to be’,‘My spiritual practice is superior to other practices’,Truth,RESOURCE,Suppression,Death,‘There is no hope for me here’ - abusive projection from another,‘Others are covertly and negatively judging me when they are with me’ ,‘An inner knowledge is forbidden’,‘There is something within me that is preventing me from succeeding that I cannot get to’,TEAMMATE*,Aversion,Taboo,INTRUDER*,‘I can no longer feel the love’ - TL for a sacred attribute,‘I am not allowed to show the true breadth of my love’,‘I am undeserving of being blessed with happiness’,‘I cannot be saved’,Dimension*,MOTE,ALLIANCES 2*,Ability,‘It is not possible to change one’s fate’,‘I am ruled by my physical body’,‘The truth can never be known’,‘They do not want me’,*Energy Shape,Bacterial,Misinformation,"*Helpmode
index
",‘This disallows me any personal choice’ ,‘I am nowhere and know nothing’,‘At death I am alone’,‘I am not needed’,Qi Tempt,"*Inherited
",Ask,Discarnate,‘I cannot be made whole again’,‘I have no real faith’,‘But what I want will never happen’,‘I am always in the wrong place’,Compartment,Faith,Ability,*Begin,‘I am unable to express divinity’ ,‘I need someone else to guide me’,‘I am harmless (so do not hurt me)’,‘They are angry at me’,Qi Pinched,*Friend,General Facil,Qi Disconnect,Untitled.pct,"Belief as an inner assumption taken as true.

Page 1 opens the door to spiritual beliefs that have been passed down from the seeding source and which are stifling one’s ability to openly Surrender.

‘A human always acts and feels and performs in accordance with what he imagines to be true about himself and his environment.’ - Maxwell Maltz

If necessary, check Crisis Outer to get the situation or state out of which the belief came about."
 Belief - spirituality,2,11/F,,,,,‘To be enlightened you must sacrifice your desires’,God is an angry God’ - the model of old testament Jehovah,‘The seeding source is rejecting my efforts here’,‘I am all messed up’,"IMPLANT
Index",Viral,Reunion,ALLIANCES 1*,‘No one ‘gets’ the truth about me’,‘I am to blame for the lack we are going through’,‘The truth in my heart is being cruelly wounded by others’ lies’,‘We are basically sinners and have to redeem ourselves from our guilt  - the fall’,"Survival
",Qi Congestion,Qi Attunement,Control,‘I cannot feel ....’  - assess for a sacred attribute ,‘Believing that the universe will give me what I want here is just a fanciful notion’,‘It all seems to be going wrong’,‘I cannot make correct choices’,Dimension* ,DEFENSE,Qi United,Decision,‘What I am doing is never enough’,"‘This rejection of me is killing me, and I have no spirit left’ ",‘I live in fear of being found out and rejected’,‘I am trapped by false ideas but cannot break free of them’,Ascend,Pray,Game,Clutch,‘It’s all falling apart’,‘I call out but nothing answers’,‘If I feel powerful I will be punished God’,‘I will never be free of this’ ,Res Out Phase,"*Helpmode
index",Truth,Impatience,‘I am alone and powerless’,‘I am haunted by failure no matter what I do’,‘Only through a savior can you be saved or be enlightened’,‘I am unable to know the truth with any certainty’,Divination,Qi Entice,*Detach,*Teach Us,‘Others can be so demonic’,‘What is good seems always to becomes bad’,‘I have no power’ - TL for an acupuncture point and yang stimulate - follow its goto,‘I cannot let go of what has happened’,DEMONIC*,Inversion,Meridian TL,Qi Step,"‘No matter how I envision an outcome, I will fail’",‘It is my duty to sacrifice myself if required’,‘Money is the root of all evil - blessed are the poor’,‘I cannot find the divine’,ACCOMPLISH,Haze Inner,*Quit,Lessons,Untitled.pct,"Belief as an inner assumption taken as true.

Page 2 uncovers inner beliefs arising from the experience of materiality’s impact on one’s spiritual understanding.

‘A human always acts and feels and performs in accordance with what he imagines to be true about himself and his environment.’ - Maxwell Maltz

If necessary, check Crisis Outer to get the situation or state out of which the belief came about."
 Belief - group,3,11/F,,,,,"‘I am a bad (father, mother, child, lover, spouse, friend, mentor or leader - TL which)’","‘My family, group or a partnership is trapping me’","‘I am considered unlucky by my family, group, or my partner’","‘A woman in this family, group, or this partnership, cannot prosper without the help of a man’",*Maternal,Lineage,Fortune,Yinflow,‘I am not being truly respected by others’,‘I have been pushing on for so long but nothing seems to be working’,‘I have been pushed away and shamed and I will never recover’,‘It feels like Grace is not with me nor ever will be’,Exchange,Qi Halting,Res Change,Tribe,‘I have lost that which brings hope to my life’,‘There is something they are hiding from me’,"‘I am shaken by my family’s, group’s, or my partner’s rigid denial of what is true’","‘Nothing will ever change, the same thing will happen again’",Meaning,Sealed,*Reposition,Rut,‘I will never be what I so want to be’,‘I am being rejected for how I express myself’ ,‘I cannot bring forward my charisma and power when others are covertly rejecting me’,‘It’s all falling apart’,Res Code,Need,DOM YANG,Tickle,‘I must not show this inner pain to others’,"‘I am seen as an inferior within this family, partnership, group, or society’ (TL which)","‘’My family’s, group’s, or my partner’s (TL which) wishes are counter to my own’",‘Life seems always to be a painful and difficult struggle’,Toxic,*Akasha ,*Grant,*Sabotage,"‘My spouse, family, lover or a group (TL which) is in charge of my life’",‘My true abilities are not being recognized’,"‘The family, group, or my partner’s outlook is one that will not allow change or new ideas’","‘There is a hidden agenda within the family, group, or my partnerships’",Powerdrive,Gates,ENVY,CRF,"‘My lack of being loved justifies my withdrawing from my family, group or partner’",‘I have done wrong and do not deserve to have any creative power over my life’,"‘In my family or my partnerships, receiving what one desires always seems to become blocked’","‘The family, group, or my partner will love me more if I am successful’",Excuse,*Decompress,INFLOW,*Expect,‘There is a presence that haunts the family or this partnership or group’,"‘I am afraid of a transformation or sudden change in my family, group, or my partner’","‘In this family, group or partnership, it is the mind that counts and nothing else’ ","‘The family, group, or my partner demands work must be done before I can play’",ATTACH*,RESCUERS*,Touch,*Request,Untitled.pct,"Belief as an inner assumption taken as true.

Page 3 is about beliefs held within the context of one’s family, partnership or group.

‘A human always acts and feels and performs in accordance with what he imagines to be true about himself and his environment.’ - Maxwell Maltz

If necessary, check Crisis Outer to get the situation or state out of which the belief came about."
 Belief - self negating,4,11/F,,,,,‘There is some magic key to all this that I do not know’,‘There is nothing to guide me truly’,‘I am living on beliefs but not really knowing’,‘I am not wanted’,PASSKEY,PILOT,General Facil,Ejection,‘No one is hearing me’,‘I do not have the power to forestall the darkness before me’,‘I cannot hold to an outlook that would truly bring me success’,‘I cannot love unconditionally’,Qi Ear,Ability,MISSION*,*Interweave,‘I am not wanted any more’,‘Others somehow sense that I am inadequate’,‘I am doing something wrong’,‘I am trapped’,*Revealing,Outcast,MINDFIELD,*Exstim,"‘I am never going to be able to have what 
I am yearning for’",‘I do not have the wherewithal to go beyond where I am now’,‘I need to protect myself’,‘The blessings of love will never be mine’,*Channel,*Rectify,EM,GRACE,‘There is no hope for a turnaround here’,‘My hopes in the physical world keep turning into let down’ ,‘I cannot succeed without something else happening first’,‘I will never succeed’,Deepfeel,Body,If Only,Ready,‘The joy and the magic in my life is fading’,‘I don’t deserve love and abundance’,‘I am suffering the long term consequences of this’,‘I am afraid of being rejected’,Courage,Kundalini,Rising,Seeing,‘I cannot connect’ (with a vision or with another),‘The power of my authority has gone’,‘I do not wish to start again’,‘Something has caught me in its web’,Qi Rejoining,AUTHORITY,Wall,MAZE,‘I do not have the life force to win or succeed’,‘I am full of hate and have to be restrained’,‘I should have done better than I have’,‘Others need to obey me’,Qi Numb,Held,"“Helpmode
index",*Transform,Untitled.pct,"Belief as an inner assumption taken as true

Page 4 delineates inner beliefs that create a negative view of oneself. 

‘A human always acts and feels and performs in accordance with what he imagines to be true about himself and his environment.’ - Maxwell Maltz

If necessary, check Crisis Outer to get the situation or state out of which the belief came about."
 Belief - projection,5,11/F,,,,,‘I will not find my fulfillment’,‘Others are stronger than me’,‘Life is unfair’,‘I cannot take it any more’,Addiction,Strength,Res Feeling,Gates,’What I hoped for will now never come to pass’,‘What I want will never be’ ,‘I have lost what I once had’,"‘I cannot trust (myself, another, anyone, the divine - TL for which)’",Dark Levels,Prescience,Trust,*Recall,‘Others are getting what I want’ ,‘I do not know how I can find hope’,‘I cannot overcome the influence of the seeding source’,"‘I am being rejected’ (at a physical, emotional or spiritual level - TL for which)",ENVY,Path,Genetic,Res Relate,‘My hope is being spurned and there seems to be nothing I can do’,‘I am not valued’,‘I ought to be ashamed of myself’,‘It is never not going to be this way.’,Touch,Compromise,Res Former,Qi Unfolding,‘The passion of my love is gone’,‘I have an inadequacy that is defeating me’,‘I shouldn’t express my feelings’,‘I am not good enough’,*Communion,Nobility,Res Seed,Growth,‘I am alone’,‘You must present a good appearance’,‘I am not up to the challenge’,‘I am being wronged by others’ lies’,BURDEN,CONSTRUCT,Flavors,JOY,‘I am endangered’,‘We know what is best for you’,‘I am broken (tamed)’,‘I am not powerful’,Crisis Outer,General Fac,Cell,Illness,‘You will do only what I tell you’,‘They are hurt/sick because I did bad things to them’,‘Do not tell others about your feelings’,‘My body is falling apart’,Yangflow,*Human,*Detect,*Unchanging,Untitled.pct,"Belief as an inner assumption taken as true.

Page 5 describes beliefs that have been projected by others and taken in as truth.

‘A human always acts and feels and performs in accordance with what he imagines to be true about himself and his environment.’ - Maxwell Maltz

If necessary, check Crisis Outer to get the situation or state out of which the belief came about."
